City,Cu St ID,Order Date,Order ID,Ship Date,Ship Mode,State,Zip Code
Houston,CJ-12010,2020-03-27,CA-2017-144491,2020-04-01,Standard Class,Texas,77070
Los Angeles,LL-16840,2020-04-25,CA-2017-120222,2020-05-02,Standard Class,California,90032
Philadelphia,LS-16945,2019-09-29,CA-2016-134362,2019-10-02,First Class,Pennsylvania,19140
Philadelphia,FC-14335,2018-05-15,CA-2015-138492,2018-05-22,Standard Class,Pennsylvania,19140
New York City,NM-18520,2019-05-31,CA-2016-168844,2019-06-06,Standard Class,New York,10011
Franklin,DP-13390,2020-01-01,CA-2017-154466,2020-01-02,First Class,Wisconsin,53132
San Francisco,BE-11335,2020-03-23,CA-2017-155985,2020-03-25,First Class,California,94122
Los Angeles,AR-10540,2018-04-11,US-2015-136987,2018-04-14,Second Class,California,90004
Aurora,MM-18055,2018-11-20,US-2015-165743,2018-11-23,Second Class,Colorado,80013
Raleigh,CH-12070,2019-02-08,CA-2016-109344,2019-02-11,Second Class,North Carolina,27604
Newark,HE-14800,2020-07-08,CA-2017-140480,2020-07-12,Standard Class,Delaware,19711
Philadelphia,CJ-11875,2019-12-30,CA-2016-163951,2020-01-02,First Class,Pennsylvania,19140
Milwaukee,PK-19075,2020-03-05,CA-2017-147753,2020-03-05,Same Day,Wisconsin,53209
Orlando,RH-19495,2020-08-12,CA-2017-106537,2020-08-17,Standard Class,Florida,32839
Los Angeles,HR-14770,2020-12-17,CA-2017-106964,2020-12-20,First Class,California,90045
North Charleston,CM-12385,2018-09-14,CA-2015-128027,2018-09-17,Second Class,South Carolina,29406
Henderson,KC-16675,2017-12-13,CA-2014-129819,2017-12-15,Second Class,Kentucky,42420
Columbus,NZ-18565,2019-11-20,CA-2016-110772,2019-11-24,Second Class,Ohio,43229
Bakersfield,BG-11740,2020-11-03,CA-2017-135419,2020-11-09,Standard Class,California,93309
Louisville,PG-18820,2018-07-27,US-2015-129553,2018-08-02,Standard Class,Kentucky,40214
Springfield,MS-17980,2018-12-04,CA-2015-142377,2018-12-09,Standard Class,Missouri,65807
Seattle,DK-13090,2018-03-02,CA-2015-110457,2018-03-06,Standard Class,Washington,98103
Fairfield,CS-11860,2020-07-12,CA-2017-106047,2020-07-18,Standard Class,Ohio,45014
Trenton,MA-17560,2017-08-08,CA-2014-124478,2017-08-12,Standard Class,Michigan,48183
Atlanta,RB-19645,2017-11-22,CA-2014-125682,2017-11-25,First Class,Georgia,30318
San Francisco,KT-16480,2020-06-24,CA-2017-159107,2020-06-26,Second Class,California,94110
Glendale,MH-17785,2019-03-10,CA-2016-108959,2019-03-14,Second Class,Arizona,85301
Seattle,MW-18220,2017-08-25,CA-2014-103660,2017-08-30,Standard Class,Washington,98103
New York City,JK-16120,2019-11-21,CA-2016-113425,2019-11-21,Same Day,New York,10009
Newark,KB-16315,2017-08-26,CA-2014-103331,2017-09-01,Standard Class,Delaware,19711
Miami,PB-19150,2017-12-12,CA-2014-107573,2017-12-17,Standard Class,Florida,33178
San Jose,SP-20650,2018-05-31,CA-2015-124919,2018-06-02,First Class,California,95123
Columbia,VP-21760,2020-10-16,CA-2017-159100,2020-10-21,Standard Class,Tennessee,38401
Laredo,EB-14170,2019-11-05,CA-2016-143441,2019-11-05,Same Day,Texas,78041
Coral Springs,NG-18355,2018-09-15,US-2015-130519,2018-09-15,Same Day,Florida,33065
Philadelphia,DB-13210,2019-09-15,CA-2016-149370,2019-09-19,Standard Class,Pennsylvania,19140
New York City,LC-16885,2018-06-16,US-2015-163825,2018-06-19,First Class,New York,10009
Chicago,AH-10585,2020-12-09,CA-2017-109715,2020-12-14,Standard Class,Illinois,60623
Las Cruces,JE-15715,2018-02-21,CA-2015-129770,2018-02-23,Second Class,New Mexico,88001
Baltimore,JF-15355,2020-07-30,CA-2017-141103,2020-08-06,Standard Class,Maryland,21215
Plainfield,KF-16285,2020-04-08,CA-2017-112333,2020-04-14,Standard Class,New Jersey,7060
Provo,CA-12265,2018-09-14,CA-2015-120362,2018-09-19,Standard Class,Utah,84604
Houston,PO-19180,2020-03-17,CA-2017-142867,2020-03-21,Standard Class,Texas,77095
Dallas,EN-13780,2020-03-18,CA-2017-160087,2020-03-22,Standard Class,Texas,75220
Lehi,EM-14140,2019-07-01,CA-2016-139997,2019-07-03,First Class,Utah,84043
Independence,RD-19660,2020-09-07,CA-2017-103877,2020-09-14,Standard Class,Missouri,64055
Seattle,SS-20590,2019-05-09,CA-2016-169166,2019-05-14,Standard Class,Washington,98115
New York City,NB-18655,2019-10-16,CA-2016-132066,2019-10-20,Standard Class,New York,10011
Apopka,RP-19855,2019-05-17,US-2016-150567,2019-05-21,Standard Class,Florida,32712
Newark,SM-20905,2019-05-03,CA-2016-129280,2019-05-05,First Class,Ohio,43055
New York City,NF-18595,2018-04-04,CA-2015-110667,2018-04-08,Standard Class,New York,10009
Columbus,EB-14110,2018-11-28,CA-2015-111612,2018-12-02,Standard Class,Ohio,43229
Columbus,SF-20965,2020-11-12,CA-2017-122644,2020-11-17,Standard Class,Ohio,43229
Charlotte,NF-18385,2020-07-16,US-2017-152842,2020-07-23,Standard Class,North Carolina,28205
Los Angeles,BG-11740,2019-08-30,CA-2016-165995,2019-09-06,Standard Class,California,90008
Warwick,MP-17965,2020-07-07,CA-2017-155152,2020-07-09,Second Class,Rhode Island,2886
San Francisco,EH-14005,2017-12-07,CA-2014-154592,2017-12-08,First Class,California,94109
Tulsa,JH-15910,2019-10-06,US-2016-115952,2019-10-06,Same Day,Oklahoma,74133
San Francisco,KB-16585,2018-04-30,CA-2015-103716,2018-05-06,Standard Class,California,94110
Charlotte,LH-16750,2020-08-01,CA-2017-133235,2020-08-04,First Class,North Carolina,28205
Los Angeles,HM-14980,2018-10-02,CA-2015-129917,2018-10-03,First Class,California,90008
San Francisco,AF-10870,2018-12-06,CA-2015-168634,2018-12-11,Standard Class,California,94109
Springfield,RF-19840,2019-08-13,CA-2016-125843,2019-08-16,First Class,Virginia,22153
New York City,VW-21775,2020-11-17,CA-2017-128265,2020-11-22,Second Class,New York,10011
Cary,ON-18715,2017-11-04,CA-2014-121286,2017-11-08,Second Class,North Carolina,27511
Los Angeles,DP-13000,2018-11-24,CA-2015-105347,2018-11-28,Standard Class,California,90004
Aurora,NR-18550,2017-06-07,CA-2014-106229,2017-06-11,Second Class,Illinois,60505
Seattle,HJ-14875,2019-09-20,CA-2016-166772,2019-09-24,Standard Class,Washington,98105
Detroit,HJ-14875,2020-08-26,CA-2017-132584,2020-08-27,First Class,Michigan,48234
New York City,SZ-20035,2017-11-04,CA-2014-132227,2017-11-10,Standard Class,New York,10011
New York City,RM-19750,2020-03-06,CA-2017-168193,2020-03-11,Second Class,New York,10011
Broomfield,JE-15715,2019-07-08,CA-2016-112109,2019-07-12,Standard Class,Colorado,80020
Sandy Springs,TB-21355,2020-05-18,CA-2017-159464,2020-05-19,First Class,Georgia,30328
Gulfport,AH-10030,2019-03-20,CA-2016-162747,2019-03-25,Second Class,Mississippi,39503
Los Angeles,JB-15400,2018-05-01,CA-2015-145821,2018-05-07,Standard Class,California,90008
Danville,NL-18310,2020-11-02,US-2017-163790,2020-11-04,Second Class,California,94526
Overland Park,RW-19630,2019-11-27,CA-2016-144911,2019-11-30,First Class,Kansas,66212
Oceanside,DB-13660,2020-12-18,CA-2017-105886,2020-12-23,Standard Class,New York,11572
Arlington,AG-10390,2017-04-19,CA-2014-158470,2017-04-23,Second Class,Virginia,22204
Los Angeles,LR-16915,2019-09-02,CA-2016-126732,2019-09-06,Standard Class,California,90036
Auburn,MS-17710,2018-03-16,CA-2015-134257,2018-03-19,Second Class,Alabama,36830
Pico Rivera,SZ-20035,2020-07-08,CA-2017-133249,2020-07-11,First Class,California,90660
San Diego,JK-15370,2020-08-07,US-2017-155999,2020-08-13,Standard Class,California,92105
Greenwood,MH-17455,2019-12-10,US-2016-143448,2019-12-10,Same Day,Indiana,46142
Scottsdale,CC-12670,2019-11-27,CA-2016-152121,2019-11-29,Second Class,Arizona,85254
San Francisco,JF-15565,2018-06-25,CA-2015-137750,2018-06-30,Standard Class,California,94110
Houston,KH-16630,2019-07-25,CA-2016-103037,2019-07-29,Standard Class,Texas,77070
Philadelphia,BD-11320,2019-10-31,CA-2016-119165,2019-11-06,Standard Class,Pennsylvania,19143
Cleveland,TS-21505,2019-09-25,CA-2016-113978,2019-09-29,Standard Class,Ohio,44105
Orange,DM-13345,2017-11-03,CA-2014-119529,2017-11-05,Second Class,New Jersey,7050
Toledo,RR-19525,2019-07-25,CA-2016-115525,2019-07-29,Standard Class,Ohio,43615
Minneapolis,SC-20095,2017-09-23,CA-2014-116904,2017-09-28,Standard Class,Minnesota,55407
Seattle,TW-21025,2020-06-13,CA-2017-104850,2020-06-19,Standard Class,Washington,98103
Springfield,KB-16585,2018-11-14,CA-2015-138674,2018-11-17,First Class,Oregon,97477
Long Beach,CJ-12010,2019-03-10,US-2016-112977,2019-03-16,Standard Class,New York,11561
Springfield,BD-11605,2019-04-12,CA-2016-112102,2019-04-16,Standard Class,Virginia,22153
San Francisco,NC-18535,2020-04-01,CA-2017-149881,2020-04-03,First Class,California,94110
Seattle,BT-11305,2018-09-06,CA-2015-138002,2018-09-12,Standard Class,Washington,98103
Philadelphia,AC-10420,2019-02-23,CA-2016-144400,2019-02-27,Standard Class,Pennsylvania,19120
Houston,MA-17560,2020-10-19,CA-2017-107727,2020-10-23,Second Class,Texas,77095
Chula Vista,NR-18550,2017-09-17,CA-2014-112851,2017-09-21,Standard Class,California,91911
Trenton,RF-19735,2020-10-02,CA-2017-126074,2020-10-06,Standard Class,Michigan,48183
San Francisco,EM-13960,2020-08-01,CA-2017-168942,2020-08-05,Second Class,California,94109
Seattle,PO-19180,2019-11-13,CA-2016-147683,2019-11-17,Standard Class,Washington,98103
Chicago,CV-12295,2017-09-02,CA-2014-151792,2017-09-07,Second Class,Illinois,60653
Oceanside,CD-11920,2020-05-26,CA-2017-107853,2020-05-31,Standard Class,California,92054
Los Angeles,RS-19420,2019-05-09,US-2016-159093,2019-05-14,Standard Class,California,90036
New York City,GM-14440,2020-03-26,US-2017-121251,2020-03-27,First Class,New York,10009
Dallas,SH-19975,2020-10-27,CA-2017-127922,2020-11-03,Standard Class,Texas,75081
Los Angeles,RA-19885,2019-07-17,CA-2016-101343,2019-07-22,Standard Class,California,90049
Providence,LS-16945,2020-04-24,US-2017-128832,2020-04-27,First Class,Rhode Island,2908
Encinitas,DM-13015,2019-05-05,CA-2016-160500,2019-05-08,First Class,California,92024
Gladstone,LS-17245,2020-11-26,CA-2017-135307,2020-11-27,First Class,Missouri,64118
Sparks,JF-15415,2018-10-25,CA-2015-105844,2018-10-27,Second Class,Nevada,89431
Tigard,MG-17890,2020-05-30,CA-2017-121125,2020-06-03,Standard Class,Oregon,97224
Jacksonville,FM-14380,2020-08-07,CA-2017-163321,2020-08-11,Second Class,North Carolina,28540
Lorain,AJ-10780,2017-10-31,CA-2014-108609,2017-11-02,Second Class,Ohio,44052
New York City,BS-11365,2017-09-19,CA-2014-168130,2017-09-19,Same Day,New York,10011
New York City,SV-20935,2020-11-05,CA-2017-116225,2020-11-09,Standard Class,New York,10009
Kent,RE-19405,2017-12-29,CA-2014-165477,2017-12-31,Second Class,Ohio,44240
San Diego,DJ-13510,2019-08-26,CA-2016-128594,2019-08-29,First Class,California,92037
Philadelphia,BP-11185,2019-01-04,CA-2016-158211,2019-01-08,Standard Class,Pennsylvania,19143
Champaign,LC-16885,2018-11-28,CA-2015-157133,2018-12-03,Standard Class,Illinois,61821
Dublin,FH-14350,2020-06-01,CA-2017-106831,2020-06-03,First Class,Ohio,43017
Paterson,NB-18655,2020-12-11,US-2017-125213,2020-12-13,First Class,New Jersey,7501
Seattle,TB-21250,2019-01-30,US-2016-166660,2019-02-01,Second Class,Washington,98103
Wilmington,IL-15100,2018-02-06,CA-2015-156482,2018-02-13,Standard Class,Delaware,19805
New York City,JH-15820,2018-03-28,CA-2015-133536,2018-03-30,Second Class,New York,10009
Philadelphia,FM-14215,2019-05-12,US-2016-101196,2019-05-17,Standard Class,Pennsylvania,19140
Houston,DM-12955,2019-03-21,CA-2016-163153,2019-03-25,Standard Class,Texas,77036
Fort Worth,BB-11545,2018-11-21,CA-2015-107083,2018-11-27,Standard Class,Texas,76106
Columbia,BB-11545,2020-08-12,US-2017-118941,2020-08-12,Same Day,Maryland,21044
Los Angeles,SJ-20215,2018-02-09,CA-2015-146038,2018-02-16,Standard Class,California,90049
Newark,VM-21835,2019-03-17,CA-2016-115476,2019-03-17,Same Day,Delaware,19711
New York City,DR-12880,2019-07-14,CA-2016-117282,2019-07-18,Standard Class,New York,10009
New York City,SH-20395,2020-09-10,CA-2017-122280,2020-09-10,Same Day,New York,10024
Philadelphia,JM-15535,2017-09-13,CA-2014-132962,2017-09-16,First Class,Pennsylvania,19143
Philadelphia,JC-15775,2020-07-25,CA-2017-121293,2020-07-28,Second Class,Pennsylvania,19143
San Francisco,EB-13705,2017-07-08,CA-2014-100090,2017-07-12,Standard Class,California,94122
Concord,AB-10060,2019-08-29,CA-2016-161207,2019-09-03,Standard Class,New Hampshire,3301
Austin,JF-15355,2020-09-16,CA-2017-144113,2020-09-20,Standard Class,Texas,78745
New York City,FM-14380,2019-06-17,CA-2016-145842,2019-06-20,Second Class,New York,10024
Philadelphia,PO-19195,2018-11-20,CA-2015-110891,2018-11-24,Standard Class,Pennsylvania,19140
Philadelphia,RA-19285,2020-12-01,CA-2017-127313,2020-12-04,First Class,Pennsylvania,19120
Los Angeles,BD-11320,2019-08-15,CA-2016-167241,2019-08-22,Standard Class,California,90004
Franklin,AR-10405,2020-08-27,US-2017-134481,2020-09-01,Standard Class,Massachusetts,2038
Pembroke Pines,NR-18550,2020-06-03,CA-2017-140872,2020-06-10,Standard Class,Florida,33024
Newark,JD-16150,2018-11-27,CA-2015-145184,2018-11-29,First Class,Delaware,19711
Columbus,MP-17470,2019-01-11,CA-2016-141887,2019-01-15,Standard Class,Ohio,43229
San Francisco,LW-16990,2020-03-09,CA-2017-102834,2020-03-13,Standard Class,California,94110
Hendersonville,GH-14410,2019-08-09,CA-2016-118934,2019-08-14,Standard Class,Tennessee,37075
New York City,CR-12730,2020-10-13,CA-2017-116519,2020-10-15,First Class,New York,10009
Saginaw,ME-17320,2020-11-18,CA-2017-143434,2020-11-24,Standard Class,Michigan,48601
Oceanside,DL-12925,2018-09-22,CA-2015-112571,2018-09-22,Same Day,California,92054
Springfield,JJ-15760,2018-10-05,CA-2015-115091,2018-10-09,Standard Class,Virginia,22153
Atlanta,CM-12385,2018-03-16,CA-2015-145352,2018-03-22,Standard Class,Georgia,30318
Philadelphia,MG-17680,2018-11-14,CA-2015-151043,2018-11-20,Standard Class,Pennsylvania,19143
Denver,DV-13465,2020-12-01,CA-2017-145233,2020-12-05,Standard Class,Colorado,80219
Grove City,CK-12595,2020-11-14,CA-2017-138611,2020-11-17,Second Class,Ohio,43123
Everett,CL-11890,2020-09-15,CA-2017-121888,2020-09-17,Second Class,Massachusetts,2149
Houston,MH-17440,2019-02-08,CA-2016-163048,2019-02-15,Standard Class,Texas,77036
Moreno Valley,NM-18520,2018-09-08,CA-2015-162166,2018-09-11,First Class,California,92553
Dallas,KT-16480,2020-05-30,CA-2017-142461,2020-06-03,Second Class,Texas,75217
Philadelphia,KN-16390,2018-03-05,CA-2015-109001,2018-03-09,Standard Class,Pennsylvania,19120
Chicago,EP-13915,2019-10-11,CA-2016-113390,2019-10-15,Standard Class,Illinois,60610
San Francisco,SG-20470,2017-11-28,CA-2014-159800,2017-12-01,First Class,California,94109
Atlanta,PF-19225,2019-06-26,CA-2016-160234,2019-07-03,Standard Class,Georgia,30318
Amarillo,HG-15025,2019-10-01,CA-2016-111794,2019-10-01,Same Day,Texas,79109
Columbia,CL-12565,2017-03-04,CA-2014-116239,2017-03-04,Same Day,South Carolina,29203
Los Angeles,LR-16915,2019-01-03,CA-2016-125206,2019-01-05,First Class,California,90045
New York City,CS-12490,2019-04-18,CA-2016-144785,2019-04-23,Standard Class,New York,10009
Seattle,JH-15985,2017-08-09,CA-2014-169726,2017-08-13,Standard Class,Washington,98103
Los Angeles,ED-13885,2020-02-19,CA-2017-134838,2020-02-20,First Class,California,90045
Philadelphia,SV-20365,2020-07-18,US-2017-165358,2020-07-23,Standard Class,Pennsylvania,19134
San Francisco,DW-13585,2019-09-26,CA-2016-165820,2019-09-30,Standard Class,California,94109
Lewiston,SE-20110,2017-04-11,US-2014-121734,2017-04-16,Standard Class,Idaho,83501
Seattle,PJ-18835,2017-05-28,CA-2014-135993,2017-06-02,Standard Class,Washington,98115
San Diego,CK-12595,2017-12-26,CA-2014-106264,2017-12-30,Standard Class,California,92024
San Antonio,KH-16630,2020-10-01,CA-2017-152275,2020-10-08,Standard Class,Texas,78207
Los Angeles,KB-16315,2020-03-09,CA-2017-147354,2020-03-13,Standard Class,California,90008
New York City,DK-13225,2019-11-26,CA-2016-130288,2019-11-30,Second Class,New York,10011
Columbus,LH-17020,2018-02-08,CA-2015-114923,2018-02-13,Standard Class,Ohio,43229
San Diego,JE-15475,2019-12-18,CA-2016-133795,2019-12-24,Standard Class,California,92037
Tallahassee,PO-18850,2020-08-23,CA-2017-129021,2020-08-26,Second Class,Florida,32303
Portland,DJ-13630,2018-12-14,CA-2015-123232,2018-12-16,Second Class,Oregon,97206
Cincinnati,DL-12865,2017-06-29,CA-2014-165974,2017-07-06,Standard Class,Ohio,45231
Trenton,JS-16030,2019-10-20,CA-2016-160220,2019-10-26,Standard Class,Michigan,48183
Long Beach,AB-10150,2020-09-04,CA-2017-120761,2020-09-08,Standard Class,New York,11561
Los Angeles,AR-10510,2018-08-31,CA-2015-112319,2018-09-05,Standard Class,California,90004
San Francisco,YC-21895,2019-04-07,CA-2016-110499,2019-04-09,First Class,California,94110
San Francisco,SN-20560,2020-02-06,CA-2017-154102,2020-02-13,Standard Class,California,94109
Jackson,CM-12655,2019-08-08,CA-2016-169026,2019-08-13,Standard Class,Mississippi,39212
San Francisco,RO-19780,2019-11-10,CA-2016-152940,2019-11-13,First Class,California,94110
San Diego,IG-15085,2019-06-17,CA-2016-159345,2019-06-22,Standard Class,California,92024
Baltimore,MG-17890,2018-07-16,CA-2015-146948,2018-07-20,Standard Class,Maryland,21215
Baltimore,CC-12475,2020-09-30,CA-2017-144225,2020-10-02,Second Class,Maryland,21215
Los Angeles,AP-10915,2017-09-29,CA-2014-146969,2017-10-03,Standard Class,California,90045
Greenville,SU-20665,2019-08-21,CA-2016-123414,2019-08-27,Standard Class,North Carolina,27834
Decatur,TC-20980,2017-12-27,CA-2014-153087,2018-01-03,Standard Class,Alabama,35601
Los Angeles,SC-20095,2017-11-23,US-2014-157385,2017-11-25,First Class,California,90004
Burlington,HM-14980,2020-04-11,CA-2017-130904,2020-04-16,Standard Class,North Carolina,27217
Rome,PW-19030,2018-02-03,CA-2015-127327,2018-02-07,Standard Class,New York,13440
Los Angeles,FM-14290,2017-08-26,CA-2014-123260,2017-08-30,Standard Class,California,90032
Columbus,AR-10510,2017-05-02,CA-2014-115056,2017-05-02,Same Day,Ohio,43229
Jacksonville,ND-18460,2020-06-10,CA-2017-107167,2020-06-14,Standard Class,Florida,32216
Lancaster,SC-20440,2020-11-24,CA-2017-131366,2020-11-29,Standard Class,Pennsylvania,17602
New York City,JF-15415,2020-12-28,CA-2017-164826,2021-01-04,Standard Class,New York,10024
Chicago,AS-10090,2019-09-11,CA-2016-150007,2019-09-16,Standard Class,Illinois,60653
Chicago,LE-16810,2017-05-27,US-2014-117058,2017-05-30,First Class,Illinois,60653
San Antonio,BM-11140,2017-09-08,CA-2014-139892,2017-09-12,Standard Class,Texas,78207
Philadelphia,SC-20020,2018-11-10,CA-2015-147690,2018-11-14,Standard Class,Pennsylvania,19140
Los Angeles,KD-16270,2018-12-12,CA-2015-110870,2018-12-15,First Class,California,90032
Seattle,MC-17575,2018-09-10,CA-2015-117772,2018-09-12,Second Class,Washington,98103
Fresno,GM-14500,2020-08-20,US-2017-111241,2020-08-22,Second Class,California,93727
New York City,DS-13030,2020-04-04,CA-2017-144848,2020-04-05,First Class,New York,10009
New York City,KD-16345,2017-09-02,US-2014-138828,2017-09-03,First Class,New York,10009
Baltimore,AJ-10780,2020-05-14,US-2017-133361,2020-05-17,First Class,Maryland,21215
San Francisco,SH-19975,2020-03-06,CA-2017-125101,2020-03-10,Second Class,California,94109
New York City,VP-21760,2019-06-26,CA-2016-102127,2019-07-02,Standard Class,New York,10035
Roseville,PO-19180,2018-11-10,CA-2015-121783,2018-11-14,Standard Class,Minnesota,55113
Los Angeles,HF-14995,2017-05-26,CA-2014-158029,2017-05-30,Standard Class,California,90008
Seattle,SC-20260,2017-04-06,CA-2014-169803,2017-04-12,Standard Class,Washington,98115
Jackson,KD-16495,2018-12-14,CA-2015-125066,2018-12-18,Standard Class,Mississippi,39212
Seattle,CS-11845,2020-02-11,CA-2017-131828,2020-02-13,Second Class,Washington,98105
West Palm Beach,JH-15910,2018-06-12,CA-2015-104115,2018-06-16,Standard Class,Florida,33407
Seattle,RD-19720,2019-05-10,CA-2016-161543,2019-05-16,Standard Class,Washington,98105
Wilmington,LC-16885,2017-04-25,CA-2014-110100,2017-04-29,Standard Class,North Carolina,28403
Rochester,AJ-10960,2017-09-14,CA-2014-113362,2017-09-19,Standard Class,New York,14609
New York City,BP-11095,2017-11-07,CA-2014-146990,2017-11-08,First Class,New York,10024
Manchester,MK-17905,2019-10-21,CA-2016-155516,2019-10-21,Same Day,Connecticut,6040
New York City,DG-13300,2020-11-28,CA-2017-123372,2020-12-02,Standard Class,New York,10035
Durham,LR-16915,2018-11-30,CA-2015-141327,2018-12-03,First Class,North Carolina,27707
Los Angeles,AZ-10750,2018-04-22,CA-2015-151253,2018-04-26,Standard Class,California,90008
Richmond,SF-20200,2017-12-23,CA-2014-142314,2017-12-28,Standard Class,Indiana,47374
Parma,NP-18685,2019-09-22,CA-2016-166653,2019-09-24,Second Class,Ohio,44134
San Antonio,CY-12745,2017-12-12,US-2014-122959,2017-12-12,Same Day,Texas,78207
Springfield,SB-20290,2020-11-13,US-2017-165344,2020-11-15,First Class,Ohio,45503
Richmond,AG-10900,2020-09-25,CA-2017-116939,2020-09-29,Standard Class,Virginia,23223
Los Angeles,CC-12100,2018-08-27,CA-2015-113040,2018-08-31,Standard Class,California,90045
Bloomington,AB-10105,2020-08-03,CA-2017-140781,2020-08-07,Standard Class,Illinois,61701
Redlands,SC-20725,2018-09-11,CA-2015-165057,2018-09-15,Standard Class,California,92374
Los Angeles,JB-15925,2017-12-05,CA-2014-150203,2017-12-07,First Class,California,90032
Dallas,JF-15565,2019-08-08,CA-2016-121034,2019-08-10,Second Class,Texas,75081
Fargo,CS-12400,2020-12-28,CA-2017-135111,2021-01-02,Standard Class,North Dakota,58103
Houston,EB-13705,2018-03-31,CA-2015-128125,2018-04-05,Standard Class,Texas,77095
Aurora,AW-10930,2017-07-14,US-2014-103905,2017-07-20,Standard Class,Illinois,60505
Tamarac,AH-10195,2019-12-18,CA-2016-112697,2019-12-20,Second Class,Florida,33319
Ontario,KA-16525,2020-11-20,US-2017-110996,2020-11-25,Standard Class,California,91761
Los Angeles,JM-15655,2020-10-27,CA-2017-151225,2020-10-29,First Class,California,90032
Irving,NH-18610,2019-09-25,CA-2016-123722,2019-10-01,Standard Class,Texas,75061
Philadelphia,SF-20065,2020-07-16,US-2017-156909,2020-07-18,Second Class,Pennsylvania,19140
New York City,GT-14710,2017-05-23,US-2014-135881,2017-05-27,Standard Class,New York,10035
Phoenix,TS-21370,2020-05-11,US-2017-139647,2020-05-13,First Class,Arizona,85023
Philadelphia,RD-19720,2020-12-09,US-2017-132927,2020-12-15,Standard Class,Pennsylvania,19134
Seattle,CM-12655,2020-12-03,CA-2017-143126,2020-12-07,Second Class,Washington,98115
Milwaukee,HE-14800,2020-12-18,CA-2017-143252,2020-12-24,Standard Class,Wisconsin,53209
Tulsa,BD-11320,2020-09-23,CA-2017-117485,2020-09-29,Standard Class,Oklahoma,74133
New York City,JF-15565,2019-02-16,CA-2016-105781,2019-02-20,Standard Class,New York,10024
Midland,RB-19795,2017-06-03,CA-2014-141299,2017-06-07,Second Class,Michigan,48640
Columbus,HZ-14950,2019-03-14,US-2016-154361,2019-03-19,Standard Class,Ohio,43229
Garden City,BT-11395,2017-10-28,CA-2014-107769,2017-11-01,Standard Class,Kansas,67846
Wilmington,CA-12265,2020-09-22,CA-2017-122196,2020-09-24,First Class,Delaware,19805
Philadelphia,EA-14035,2020-07-31,CA-2017-121909,2020-08-05,Standard Class,Pennsylvania,19134
San Francisco,TM-21490,2020-08-22,CA-2017-131037,2020-08-23,First Class,California,94110
Milford,RB-19465,2019-03-09,CA-2016-120803,2019-03-13,Standard Class,Connecticut,6460
San Angelo,LC-16930,2020-11-19,US-2017-137491,2020-11-25,Standard Class,Texas,76903
Perth Amboy,MC-17590,2019-07-17,CA-2016-131835,2019-07-21,Standard Class,New Jersey,8861
Dallas,NB-18655,2019-04-28,CA-2016-161816,2019-05-01,First Class,Texas,75217
Miami,BV-11245,2018-03-26,CA-2015-103793,2018-03-31,Standard Class,Florida,33142
Chicago,SC-20305,2020-08-28,CA-2017-146920,2020-09-01,Standard Class,Illinois,60623
Los Angeles,KD-16345,2017-12-13,CA-2014-113579,2017-12-15,Second Class,California,90049
Newark,CB-12535,2018-01-02,CA-2015-104514,2018-01-04,Second Class,Delaware,19711
Columbus,JR-16210,2020-11-27,CA-2017-159506,2020-12-02,Standard Class,Indiana,47201
Roswell,EH-13990,2017-01-15,CA-2014-103366,2017-01-17,First Class,Georgia,30076
San Francisco,TN-21040,2020-10-01,US-2017-139577,2020-10-06,Standard Class,California,94110
Skokie,DB-13060,2020-12-14,CA-2017-107629,2020-12-14,Same Day,Illinois,60076
New Rochelle,MM-17260,2019-09-18,CA-2016-120355,2019-09-25,Standard Class,New York,10801
New York City,SP-20545,2019-03-26,CA-2016-123666,2019-03-30,Standard Class,New York,10011
Los Angeles,DV-13045,2019-06-12,CA-2016-138688,2019-06-16,Second Class,California,90036
Columbia,CY-12745,2018-05-25,CA-2015-109708,2018-05-28,Second Class,Tennessee,38401
Chicago,JM-15265,2018-05-31,CA-2015-100818,2018-06-05,Second Class,Illinois,60653
Columbus,RA-19915,2019-09-23,CA-2016-149979,2019-09-28,Second Class,Georgia,31907
Seattle,JO-15550,2018-03-19,CA-2015-132101,2018-03-25,Standard Class,Washington,98105
New York City,JF-15190,2019-12-02,US-2016-155103,2019-12-07,Standard Class,New York,10024
Naperville,PO-19195,2017-01-04,CA-2014-112326,2017-01-08,Standard Class,Illinois,60540
Florence,SG-20470,2018-03-23,CA-2015-130218,2018-03-26,First Class,South Carolina,29501
Broomfield,SM-20950,2019-09-22,CA-2016-125724,2019-09-27,Standard Class,Colorado,80020
Fort Lauderdale,BB-11545,2020-11-11,CA-2017-158561,2020-11-16,Second Class,Florida,33311
Los Angeles,SS-20410,2017-11-15,CA-2014-127558,2017-11-18,First Class,California,90008
Los Angeles,CC-12670,2020-06-18,CA-2017-112753,2020-06-23,Standard Class,California,90032
Utica,CM-12190,2020-11-16,US-2017-118598,2020-11-16,Same Day,New York,13501
Chicago,DD-13570,2017-03-31,US-2014-104759,2017-04-04,Standard Class,Illinois,60610
Philadelphia,JD-15895,2019-09-05,CA-2016-110366,2019-09-07,Second Class,Pennsylvania,19140
San Diego,NP-18325,2018-12-06,CA-2015-143490,2018-12-13,Standard Class,California,92105
Los Angeles,HM-14860,2018-12-04,CA-2015-118871,2018-12-09,Second Class,California,90049
Tempe,ON-18715,2017-09-13,CA-2014-140039,2017-09-17,Standard Class,Arizona,85281
